year,state,county,totalvotes,democratvotes,republicanvotes,othervotes
2016,Alabama,Autauga,24973,5936.0,18172.0,865.0
2016,Alabama,Baldwin,95215,18458.0,72883.0,3874.0
2016,Alabama,Barbour,10469,4871.0,5454.0,144.0
2016,Alabama,Bibb,8819,1874.0,6738.0,207.0
2016,Alabama,Blount,25588,2156.0,22859.0,573.0
2016,Alabama,Bullock,4710,3530.0,1140.0,40.0
2016,Alabama,Butler,8732,3726.0,4901.0,105.0
2016,Alabama,Calhoun,47864,13242.0,32865.0,1757.0
2016,Alabama,Chambers,13900,5784.0,7843.0,273.0
2016,Alabama,Cherokee,10733,1547.0,8953.0,233.0
2016,Alabama,Chilton,18369,2911.0,15081.0,377.0
2016,Alabama,Choctaw,7292,3109.0,4106.0,77.0
2016,Alabama,Clarke,13031,5749.0,7140.0,142.0
2016,Alabama,Clay,6624,1237.0,5245.0,142.0
2016,Alabama,Cleburne,6593,684.0,5764.0,145.0
2016,Alabama,Coffee,20767,4221.0,15875.0,671.0
2016,Alabama,Colbert,24915,7312.0,16746.0,857.0
2016,Alabama,Conecuh,6585,3080.0,3420.0,85.0
2016,Alabama,Coosa,5252,1782.0,3381.0,89.0
2016,Alabama,Covington,15940,2387.0,13267.0,286.0
2016,Alabama,Crenshaw,6267,1664.0,4513.0,90.0
2016,Alabama,Cullman,37873,3798.0,32989.0,1086.0
2016,Alabama,Dale,18749,4413.0,13808.0,528.0
2016,Alabama,Dallas,18792,12836.0,5789.0,167.0
2016,Alabama,DeKalb,25826,3622.0,21405.0,799.0
2016,Alabama,Elmore,37260,8443.0,27634.0,1183.0
2016,Alabama,Escambia,14845,4605.0,9935.0,305.0
2016,Alabama,Etowah,44164,10442.0,32353.0,1369.0
2016,Alabama,Fayette,8249,1362.0,6712.0,175.0
2016,Alabama,Franklin,12040,2197.0,9466.0,377.0
2016,Alabama,Geneva,11758,1525.0,9994.0,239.0
2016,Alabama,Greene,4880,4013.0,838.0,29.0
2016,Alabama,Hale,8040,4775.0,3173.0,92.0
2016,Alabama,Henry,8072,2292.0,5632.0,148.0
2016,Alabama,Houston,42639,10664.0,30728.0,1247.0
2016,Alabama,Jackson,20984,3673.0,16672.0,639.0
2016,Alabama,Jefferson,304191,156873.0,134768.0,12550.0
2016,Alabama,Lamar,6966,1036.0,5823.0,107.0
2016,Alabama,Lauderdale,39525,9952.0,27899.0,1674.0
2016,Alabama,Lawrence,14829,3627.0,10833.0,369.0
2016,Alabama,Lee,59191,21230.0,34617.0,3344.0
2016,Alabama,Limestone,40294,9468.0,29067.0,1759.0
2016,Alabama,Lowndes,6684,4883.0,1751.0,50.0
2016,Alabama,Macon,9140,7566.0,1431.0,143.0
2016,Alabama,Madison,163389,62822.0,89520.0,11047.0
2016,Alabama,Marengo,10994,5615.0,5233.0,146.0
2016,Alabama,Marion,12984,1432.0,11274.0,278.0
2016,Alabama,Marshall,35316,4917.0,29233.0,1166.0
2016,Alabama,Mobile,172737,72186.0,95116.0,5435.0
2016,Alabama,Monroe,10271,4332.0,5795.0,144.0
2016,Alabama,Montgomery,95878,58916.0,34003.0,2959.0
2016,Alabama,Morgan,50644,11254.0,37486.0,1904.0
2016,Alabama,Perry,5278,3824.0,1407.0,47.0
2016,Alabama,Pickens,9542,3972.0,5456.0,114.0
2016,Alabama,Pike,13168,5056.0,7693.0,419.0
2016,Alabama,Randolph,10187,2291.0,7705.0,191.0
2016,Alabama,Russell,19256,9579.0,9210.0,467.0
2016,Alabama,St. Clair,38400,5589.0,31651.0,1160.0
2016,Alabama,Shelby,101254,22977.0,73020.0,5257.0
2016,Alabama,Sumter,6411,4746.0,1581.0,84.0
2016,Alabama,Talladega,33407,12121.0,20614.0,672.0
2016,Alabama,Tallapoosa,19486,5519.0,13594.0,373.0
2016,Alabama,Tuscaloosa,82700,31762.0,47723.0,3215.0
2016,Alabama,Walker,29472,4497.0,24266.0,709.0
2016,Alabama,Washington,8533,2374.0,6042.0,117.0
2016,Alabama,Wilcox,6118,4339.0,1737.0,42.0
2016,Alabama,Winston,10313,872.0,9228.0,213.0
2016,Alaska,District 1,6638,2573.0,3180.0,885.0
2016,Alaska,District 2,5492,1585.0,3188.0,719.0
2016,Alaska,District 3,7613,1241.0,5403.0,969.0
2016,Alaska,District 4,9521,4162.0,4070.0,1289.0
