state,county,race_wht_pct,race_blkafr_pct,race_amrindalsk_pct,race_asn_pct,race_hwnpcf_pct,race_multi_pct,race_hspltn_pct,race_whtnothsp_pct
Alabama,Autauga,76.7,19.6,0.5,1.2,0.1,1.8,3.0,74.3
Alabama,Baldwin,87.3,8.9,0.8,1.2,0.1,1.8,4.6,83.1
Alabama,Barbour,49.1,48.4,0.7,0.5,0.2,1.2,4.3,45.6
Alabama,Bibb,76.8,21.3,0.4,0.2,0.1,1.1,2.6,74.6
Alabama,Blount,95.9,1.6,0.7,0.3,0.1,1.4,9.6,86.9
Alabama,Bullock,26.2,70.7,0.8,0.2,0.7,1.3,8.0,21.2
Alabama,Butler,52.3,44.9,0.4,1.3,0.1,1.1,1.5,51.3
Alabama,Calhoun,75.3,21.1,0.5,1.0,0.1,2.0,3.9,72.0
Alabama,Chambers,57.1,40.0,0.3,1.3,0.0,1.3,2.6,55.2
Alabama,Cherokee,93.0,4.3,0.7,0.3,0.0,1.7,1.6,91.7
Alabama,Chilton,87.1,10.4,0.6,0.5,0.2,1.3,7.9,80.1
Alabama,Choctaw,57.2,41.7,0.2,0.2,0.0,0.7,1.0,56.4
Alabama,Clarke,53.4,44.6,0.5,0.4,0.0,1.0,1.4,52.5
Alabama,Clay,83.2,14.1,0.5,0.2,0.0,1.9,3.0,80.5
Alabama,Cleburne,95.0,2.9,0.5,0.2,0.1,1.3,2.5,92.8
Alabama,Coffee,75.8,17.7,1.4,1.6,0.4,3.0,7.6,69.9
Alabama,Colbert,80.6,16.2,0.7,0.6,0.1,1.9,2.7,78.4
Alabama,Conecuh,51.6,46.3,0.5,0.2,0.0,1.3,2.2,50.3
Alabama,Coosa,66.9,30.9,0.6,0.1,0.2,1.3,2.5,65.4
Alabama,Covington,84.5,12.6,0.7,0.5,0.0,1.7,1.7,83.2
Alabama,Crenshaw,72.8,23.5,0.6,1.1,0.0,2.0,2.3,70.9
Alabama,Cullman,95.9,1.3,0.6,0.7,0.1,1.4,4.4,91.9
Alabama,Dale,73.8,21.0,0.8,1.4,0.2,2.8,6.6,68.4
Alabama,Dallas,27.7,70.5,0.3,0.6,0.0,0.9,1.1,27.2
Alabama,DeKalb,92.7,1.9,2.0,0.5,0.6,2.2,14.8,80.1
Alabama,Elmore,75.5,21.5,0.5,0.7,0.1,1.7,3.0,73.0
Alabama,Escambia,62.0,31.7,3.9,0.3,0.1,2.1,2.5,60.2
Alabama,Etowah,80.8,15.7,0.6,0.8,0.3,1.8,4.0,77.7
Alabama,Fayette,85.7,12.0,0.5,0.4,0.0,1.4,1.8,84.2
Alabama,Franklin,91.6,4.5,1.5,0.3,0.2,1.7,17.8,76.2
Alabama,Geneva,87.2,9.5,1.0,0.3,0.1,1.9,4.0,83.7
