state,county,race_whtnothsp_pct,race_blkafr_pct,race_amrindalsk_pct,race_asn_pct,race_hwnpcf_pct,race_multi_pct,race_hspltn_pct,college_edu_pct,poverty_pct,partisan_score
Alabama,Autauga,74.3,19.6,0.5,1.2,0.1,1.8,3.0,25.0,13.4,-5
Alabama,Baldwin,83.1,8.9,0.8,1.2,0.1,1.8,4.6,30.7,10.1,-5
Alabama,Barbour,45.6,48.4,0.7,0.5,0.2,1.2,4.3,12.0,33.4,-1
Alabama,Bibb,74.6,21.3,0.4,0.2,0.1,1.1,2.6,13.2,20.2,-5
Alabama,Blount,86.9,1.6,0.7,0.3,0.1,1.4,9.6,13.1,12.8,-5
Alabama,Bullock,21.2,70.7,0.8,0.2,0.7,1.3,8.0,13.4,34.4,5
Alabama,Butler,51.3,44.9,0.4,1.3,0.1,1.1,1.5,16.1,21.3,-2
Alabama,Calhoun,72.0,21.1,0.5,1.0,0.1,2.0,3.9,17.9,17.7,-5
Alabama,Chambers,55.2,40.0,0.3,1.3,0.0,1.3,2.6,13.3,18.2,-2
Alabama,Cherokee,91.7,4.3,0.7,0.3,0.0,1.7,1.6,12.5,17.2,-5
Alabama,Chilton,80.1,10.4,0.6,0.5,0.2,1.3,7.9,15.1,16.8,-5
Alabama,Choctaw,56.4,41.7,0.2,0.2,0.0,0.7,1.0,11.6,23.7,-2
Alabama,Clarke,52.5,44.6,0.5,0.4,0.0,1.0,1.4,13.0,23.3,-2
Alabama,Clay,80.5,14.1,0.5,0.2,0.0,1.9,3.0,10.3,18.1,-5
Alabama,Cleburne,92.8,2.9,0.5,0.2,0.1,1.3,2.5,12.4,16.1,-5
Alabama,Coffee,69.9,17.7,1.4,1.6,0.4,3.0,7.6,22.7,15.5,-5
Alabama,Colbert,78.4,16.2,0.7,0.6,0.1,1.9,2.7,18.8,15.4,-5
Alabama,Conecuh,50.3,46.3,0.5,0.2,0.0,1.3,2.2,8.8,23.7,-1
Alabama,Coosa,65.4,30.9,0.6,0.1,0.2,1.3,2.5,11.0,17.4,-4
Alabama,Covington,83.2,12.6,0.7,0.5,0.0,1.7,1.7,15.5,17.7,-5
Alabama,Crenshaw,70.9,23.5,0.6,1.1,0.0,2.0,2.3,16.3,19.9,-5
Alabama,Cullman,91.9,1.3,0.6,0.7,0.1,1.4,4.4,14.9,13.8,-5
Alabama,Dale,68.4,21.0,0.8,1.4,0.2,2.8,6.6,16.8,17.7,-5
Alabama,Dallas,27.2,70.5,0.3,0.6,0.0,0.9,1.1,14.2,27.9,4
Alabama,DeKalb,80.1,1.9,2.0,0.5,0.6,2.2,14.8,13.0,19.5,-5
Alabama,Elmore,73.0,21.5,0.5,0.7,0.1,1.7,3.0,22.8,12.0,-5
Alabama,Escambia,60.2,31.7,3.9,0.3,0.1,2.1,2.5,12.1,23.3,-4
Alabama,Etowah,77.7,15.7,0.6,0.8,0.3,1.8,4.0,16.9,18.1,-5
Alabama,Fayette,84.2,12.0,0.5,0.4,0.0,1.4,1.8,14.6,19.4,-5
Alabama,Franklin,76.2,4.5,1.5,0.3,0.2,1.7,17.8,13.4,20.5,-5
Alabama,Geneva,83.7,9.5,1.0,0.3,0.1,1.9,4.0,11.1,21.7,-5
Alabama,Greene,17.5,80.1,0.3,0.3,0.0,0.8,1.7,11.4,33.2,5
Alabama,Hale,39.7,58.1,0.3,0.3,0.0,0.7,1.4,14.4,25.1,2
Alabama,Henry,69.3,26.3,0.5,0.4,0.0,1.5,2.7,17.1,17.0,-5
Alabama,Houston,66.3,27.2,0.5,1.1,0.1,2.0,3.4,20.9,16.6,-5
Alabama,Jackson,89.1,3.6,1.7,0.6,0.1,2.8,3.0,13.4,16.6,-5
Alabama,Jefferson,49.7,43.5,0.3,1.8,0.1,1.3,4.0,31.9,16.7,1
Alabama,Lamar,86.0,10.6,0.3,0.1,0.0,1.7,1.7,13.3,18.7,-5
Alabama,Lauderdale,84.6,10.1,0.5,0.8,0.1,1.7,2.9,22.5,13.7,-5
Alabama,Lawrence,76.4,10.9,5.8,0.2,0.0,4.8,2.2,10.2,16.8,-5
Alabama,Lee,67.5,23.1,0.4,4.2,0.1,1.7,3.8,34.9,17.8,-3
Alabama,Limestone,76.1,13.8,0.8,1.6,0.2,2.4,6.1,24.6,11.9,-5
Alabama,Lowndes,25.1,72.5,0.4,0.4,0.0,0.7,1.7,13.7,25.9,5
Alabama,Macon,16.1,80.7,0.3,0.6,0.0,1.4,1.8,20.1,30.6,5
Alabama,Madison,64.6,24.9,0.8,2.7,0.1,2.6,5.1,40.6,12.8,-3
Alabama,Marengo,44.9,51.4,0.2,0.3,0.2,1.0,2.6,15.4,22.8,1
Alabama,Marion,91.8,3.9,0.4,0.3,0.1,1.3,2.6,13.4,19.3,-5
Alabama,Marshall,80.4,3.0,1.1,0.7,0.3,1.8,14.3,17.7,20.1,-5
Alabama,Mobile,56.7,36.1,0.9,2.1,0.0,1.7,3.1,23.0,19.7,-2
Alabama,Monroe,54.0,41.2,1.3,0.5,0.0,1.8,1.6,12.5,23.8,-2
